frame,baseX,baseY,headX,headY,handX,handY
0,400,500,400,400,300,500
100,638,1080,582,0,248,1080
141,840,1080,622,0,366,1080
179,1080,1080,670,0,614,1080
198,1028,1080,572,162,754,1080
210,1232,998,738,136,942,972
223,1238,826,758,84,888,810
230,1234.100928761163,803.3898353778274,767.7720334092464,105.23681370082622,930,802
233,1232.9920352323838,799.8642007121439,772.5388633808096,119.40204507121439,886,878
239,1238,790,786,150,688,852
246,1290,742,826,186,1050,1060
257,1290,742,826,186,650,1020
265,1251.7287463556852,737.5218658892128,842.3881049562682,289.3366763848396,966,1018
271,1236,712,858,344,1032,940
277,1314,584,876,204,1186,728
281,1380,460,904,100,1312,490
282,1226,522,1090,368,1188,482
287,1208.375,527.0454545454545,1110.1363636363635,396.07954545454544,1202,494
292,1226,522,1090,368,1134,588
302,1228,554,1106,406,1072,618
316,1206.720191158901,566.2867383512545,1102.0755077658303,415.7615292712067,1084,630
323,1194,572,1098,422,1030,618
337,1166,594,1088,460,1024,610
348,1118,654,1076,460,1024,610
359,1152,646,1154,458,1102,676
361,1152,646,1188,482,1102,676
365,1162,652,1204,500,1102,676
373,1168,622,1152,452,1080,654
378,1172,592,1138,424,1024,634
385,1172,592,1136,460,998,630
391,1162,602,1132,464,1046,648
395,1156,624,1148,494,1102,660
400,1142,640,1150,516,1046,664
403,1150,674,1140,560,1046,664
406,1146,664,1126,514,1084,680
412,1158,644,1126,514,1098,682
414,1162,640,1126,514,1120,694
423,1138,634,1108,512,1110,698
430,1108,650,1092,522,1058,696
434,1072,658,1074,526,980,682
440,1072,658,1074,526,1006,702
448,1072,658,1074,526,1026,670
454,1088,660,1086,518,1048,670
466,1102,686,1104,538,1060,680
470,1102,686,1106,562,1034,680
473,1104,690,1118,558,1026,676
474,1111.5526455026456,689.7944444444445,1123.8138888888889,555.1433862433862,1022,672
475,1121.8712522045855,688.925925925926,1130.2407407407406,551.710758377425,1020,688
477,1142.0246913580247,687.0370370370371,1142.2962962962963,545.1604938271605,1064,630
479,1152,686,1148,542,1160,590
481,1152,686,1148,542,1218,526
482,1152,686,1148,542,1214,502
484,1152,686,1148,542,1190,534
487,1152,686,1148,542,1152,580
492,1152,686,1148,542,1126,590
493,1152,686,1148,542,1102,590
497,1152,686,1132,566,1088,598
499,1152,686,1120,574,1092,626
500,1154.349537037037,687.3425925925926,1120,576,1098.8078703703704,629.6851851851852
503,1163.148148148148,692.3703703703703,1118,578,1122.4814814814815,630.7407407407408
505,1166,694,1118,580,1130,630
510,1224,708,1166,564,1198,672
513,1238,708,1216,552,1208,708
516,1238,708,1274,574,1208,708
518,1238,708,1312,596,1208,708
520,1252,708,1312,596,1262,788
522,1252,708,1364,654,1272,830
524,1236,722,1368,716,1292,884
526,1240,732,1374,774,1298,938
529,1236,734,1370,814,1310,976
531,1236,734,1370,840,1310,984
536,1238,748,1328,850,1338,992
539,1238,748,1306,866,1338,992
552,1238,748,1344,840,1296,968
554,1238,748,1354,810,1278,946
559,1234,740,1364,738,1196,848
561,1234,740,1364,694,1190,812
565,1196,752,1364,640,1190,812
569,1196,752,1354,590,1202,732
572,1230,736,1336,562,1184,716
576,1244,738,1306,546,1184,716
581,1258,720,1266,538,1138,724
590,1258,720,1256,536,1138,724
595,1236,722,1238,560,1202,616
596,1234.7777777777778,714.5555555555555,1237,561.3333333333334,1192,628
598,1236,698,1238,560,1188,626
602,1236,698,1194,574,1230,666
605,1202,698,1118,570,1204,692
607,1202,698,1118,570,1252,702
609,1186,686,1108,566,1252,702
611,1172,698,1098,562,1228,686
613,1148,692,1060,562,1204,696
616,1132,696,1060,550,1204,696
618,1132,696,1060,550,1122,702
621,1132,696,1074,530,1076,698
625,1102,684,1096,520,1060,722
630,1102,684,1096,520,1164,704
636,1032,686,1052,524,1104,724
638,1044,668,1052,500,1040,736
640,1044,668,1040,510,1040,736
645,1044,668,1074,510,970,704
646,1038,704,1092,520,970,704
649,1037.775,724.7375,1142,596,926,650
650,1038,726,1162,632,948,638
651,1038,726,1168,650,964,618
653,1038,726,1180,688,984,612
656,1038,726,1204,664,996,618
657,1038,726,1212,644,996,618
661,1118,708,1210,534,1070,678
664,1148,688,1210,514,1070,678
667,1168,702,1210,514,1102,702
670,1168,702,1232,528,1102,694
672,1168,702,1270,584,1102,694
674,1158,708,1288,614,1090,640
676,1158,708,1320,660,1110,608
681,1158,708,1320,660,1128,632
684,1200,692,1316,590,1240,784
686,1200,692,1316,590,1364,696
687,1200,692,1306,554,1390,632
689,1238,692,1296,530,1420,484
690,1244,684,1296,530,1392,410
691,1246,684,1296,530,1328,394
692,1244,702,1296,530,1268,378
693,1244,702,1296,530,1200,382
694,1244,702,1296,530,1156,436
695,1244,702,1280,508,1134,518
696,1244,702,1280,508,1142,602
697,1244,702,1280,508,1138,664
699,1244,702,1280,508,1176,744
700,1244,702,1280,508,1206,764
701,1244,702,1252,502,1220,772
703,1284,712,1228,512,1220,772
705,1284,712,1216,536,1220,772
707,1284,712,1186,514,1216,802
710,1284,712,1162,582,1240,788
